Album Name	Artist	Genre	Track #	Track Title (DISTROKID)	Variant	Duration	Local MP3 Path	Drive Path	Cover

=== LofiNippon Master Album ===									
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	1	Tanuki Steps	Part I	183.8s	/workspace/distrokid/albums/lofinippon/tracks/01 - Tanuki Steps (Part I).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/01 - Tanuki Steps (Part I).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	2	Tanuki Steps	Part II	147.6s	/workspace/distrokid/albums/lofinippon/tracks/02 - Tanuki Steps (Part II).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/02 - Tanuki Steps (Part II).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	3	Matsuri Glow	Part I	148.3s	/workspace/distrokid/albums/lofinippon/tracks/03 - Matsuri Glow (Part I).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/03 - Matsuri Glow (Part I).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	4	Matsuri Glow	Part II	162.8s	/workspace/distrokid/albums/lofinippon/tracks/04 - Matsuri Glow (Part II).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/04 - Matsuri Glow (Part II).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	5	Bamboo Rain	Part I	153.4s	/workspace/distrokid/albums/lofinippon/tracks/05 - Bamboo Rain (Part I).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/05 - Bamboo Rain (Part I).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	6	Bamboo Rain	Part II	133.0s	/workspace/distrokid/albums/lofinippon/tracks/06 - Bamboo Rain (Part II).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/06 - Bamboo Rain (Part II).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	7	Lantern Alley	Part I	181.4s	/workspace/distrokid/albums/lofinippon/tracks/07 - Lantern Alley (Part I).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/07 - Lantern Alley (Part I).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	8	Lantern Alley	Part II	189.3s	/workspace/distrokid/albums/lofinippon/tracks/08 - Lantern Alley (Part II).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/08 - Lantern Alley (Part II).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	9	Tea Garden Hush	Solo	168.6s	/workspace/distrokid/albums/lofinippon/tracks/09 - Tea Garden Hush (Solo).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/09 - Tea Garden Hush (Solo).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
LofiNippon Collection	LofiNippon	Japanese Lo-Fi	10	Tatami Window	Part I	158.4s	/workspace/distrokid/albums/lofinippon/tracks/10 - Tatami Window (Part I).mp3 [OK]	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/tracks/10 - Tatami Window (Part I).mp3	Drive/LoFi Music Hub/LofiNippon/LofiNippon Master Album/cover.jpg
